Race,,Dist,1000,Time,05:18.6
Split,Time,Secs,Vel,SR,
25,7.84,7.84,3.19,66.21,
50,15.41,7.58,3.3,67.2,
75,22.99,7.58,3.3,67.99,
100,30.53,7.54,3.32,69.26,
125,38.19,7.66,3.26,66.88,
150,45.91,7.72,3.24,66.12,
175,53.6,7.69,3.25,68.09,
200,01:01.3,7.71,3.24,68.63,
225,01:09.1,7.78,3.21,67.32,
250,01:16.9,7.79,3.21,65.84,
275,01:24.7,7.79,3.21,68.29,
300,01:32.6,7.88,3.17,66.76,
325,01:40.4,7.87,3.18,66.21,
350,01:48.3,7.87,3.18,67.8,
375,01:56.2,7.86,3.18,67.13,
400,02:04.0,7.84,3.19,66.77,
425,02:11.8,7.84,3.19,67.42,
450,02:19.7,7.89,3.17,66.76,
475,02:27.7,7.95,3.14,65.93,
500,02:35.6,7.94,3.15,66.95,
525,02:43.5,7.89,3.17,65.93,
550,02:51.4,7.91,3.16,66.21,
575,02:59.4,7.93,3.15,66.57,
600,03:07.3,7.96,3.14,66.48,
625,03:15.3,8,3.12,65.42,
650,03:23.2,7.87,3.18,67.32,
675,03:31.2,8.01,3.12,65.57,
700,03:39.3,8.06,3.1,66.02,
725,03:47.3,8.04,3.11,65.4,
750,03:55.3,8.02,3.12,66.46,
775,04:03.3,7.96,3.14,66.3,
800,04:11.3,7.98,3.13,65.31,
825,04:19.2,7.99,3.13,66.85,
850,04:27.2,7.94,3.15,65.73,
875,04:35.1,7.95,3.14,65.31,
900,04:43.1,7.96,3.14,63.75,
925,04:51.1,7.99,3.13,64.71,
950,04:59.0,7.95,3.15,65.22,
975,05:06.8,7.82,3.2,64.71,
1000,05:18.7,11.82,2.12,75,
Av,,7.97,3.15,66.7,
